"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","218.50","219.20","219.90","218.10","294.60K","0.00%"
"12-09-2024","218.50","215.30","220.10","214.30","413.84K","2.68%"
"11-09-2024","212.80","210.10","213.80","209.60","280.57K","1.77%"
"10-09-2024","209.10","214.00","215.20","208.20","391.41K","-2.29%"
"09-09-2024","214.00","215.30","215.70","207.80","574.07K","-3.04%"
"06-09-2024","220.70","221.30","222.90","217.00","356.99K","-0.59%"
"05-09-2024","222.00","223.00","224.00","219.90","261.80K","-1.11%"
"04-09-2024","224.50","227.30","229.60","222.40","343.33K","-2.39%"
"03-09-2024","230.00","230.40","231.50","228.70","168.53K","0.00%"
"02-09-2024","230.00","231.70","231.70","228.90","181.71K","-0.86%"
"30-08-2024","232.00","230.90","236.50","229.70","621.40K","0.17%"
"29-08-2024","231.60","227.10","231.70","226.40","313.25K","2.03%"
"28-08-2024","227.00","223.70","229.80","223.40","456.17K","1.48%"
"27-08-2024","223.70","220.00","223.70","219.10","329.31K","2.19%"
"26-08-2024","218.90","218.70","219.60","218.00","125.67K","-0.14%"
"23-08-2024","219.20","217.80","219.40","215.90","184.93K","0.78%"
"22-08-2024","217.50","216.70","218.20","216.40","189.03K","0.05%"
"21-08-2024","217.40","213.60","217.80","213.60","311.71K","1.54%"
"20-08-2024","214.10","217.70","217.90","213.80","268.19K","-1.61%"
"19-08-2024","217.60","217.20","218.10","215.80","242.39K","0.28%"
"16-08-2024","217.00","219.40","219.50","216.70","325.63K","-0.64%"
"15-08-2024","218.40","217.30","220.30","216.10","321.41K","0.55%"
"14-08-2024","217.20","214.60","218.30","214.10","288.49K","1.83%"
"13-08-2024","213.30","213.20","213.70","208.90","292.10K","0.42%"
"12-08-2024","212.40","215.50","216.80","211.30","206.71K","-1.03%"
"09-08-2024","214.60","215.10","216.10","212.90","266.15K","-0.42%"
"08-08-2024","215.50","214.70","216.20","210.80","289.79K","-0.55%"
"07-08-2024","216.70","213.00","217.50","210.60","398.43K","1.64%"
"06-08-2024","213.20","214.30","216.00","208.70","462.84K","-0.79%"
"05-08-2024","214.90","214.00","215.40","209.70","404.84K","-1.74%"
"02-08-2024","218.70","223.50","225.20","218.20","531.87K","-3.02%"
"01-08-2024","225.50","230.00","231.80","224.90","463.00K","-2.51%"
"31-07-2024","231.30","235.00","242.00","227.40","1.06M","-2.24%"
"30-07-2024","236.60","236.00","237.10","232.60","436.34K","0.34%"
"29-07-2024","235.80","233.80","237.20","231.70","530.97K","1.20%"
"26-07-2024","233.00","228.50","233.00","227.80","345.89K","1.70%"
"25-07-2024","229.10","230.70","232.00","228.80","318.57K","-1.50%"
"24-07-2024","232.60","226.60","232.60","224.70","373.11K","0.95%"
"23-07-2024","230.40","228.50","230.90","227.10","248.66K","0.74%"
"22-07-2024","228.70","228.30","229.40","226.70","338.05K","0.70%"
"19-07-2024","227.10","229.80","231.40","226.70","471.43K","-2.45%"
"18-07-2024","232.80","234.90","235.40","230.20","433.94K","-0.30%"
"17-07-2024","233.50","237.00","240.40","232.80","915.13K","2.10%"
"16-07-2024","228.70","230.00","230.30","225.30","368.87K","-1.17%"
"15-07-2024","231.40","230.70","234.70","229.50","496.28K","0.09%"
"12-07-2024","231.20","226.50","231.20","226.30","421.91K","2.39%"
"11-07-2024","225.80","222.80","226.00","221.30","371.14K","2.03%"
"10-07-2024","221.30","217.00","222.10","216.30","452.00K","2.41%"
"09-07-2024","216.10","218.60","219.60","216.10","242.95K","-1.23%"
"08-07-2024","218.80","220.30","222.70","218.70","272.63K","-0.68%"
"05-07-2024","220.30","219.90","223.10","218.80","295.33K","0.36%"
"04-07-2024","219.50","218.20","219.50","216.70","196.94K","0.64%"
"03-07-2024","218.10","216.50","220.40","215.20","348.20K","0.97%"
"02-07-2024","216.00","219.40","220.10","211.30","451.96K","-1.59%"
"01-07-2024","219.50","224.40","225.30","219.50","495.06K","-1.57%"
"28-06-2024","223.00","223.40","226.40","220.40","893.10K","0.18%"
"27-06-2024","222.60","220.00","223.50","219.50","431.70K","0.18%"
"26-06-2024","222.20","219.90","222.90","218.50","443.19K","1.97%"
"25-06-2024","217.90","220.80","220.80","217.70","328.57K","-1.00%"
"24-06-2024","220.10","217.90","220.90","216.30","392.14K","1.06%"
"21-06-2024","217.80","221.70","221.70","216.50","845.22K","-1.54%"
"20-06-2024","221.20","215.50","221.30","214.30","456.25K","2.88%"
"19-06-2024","215.00","215.90","216.10","214.30","203.35K","-0.46%"
"18-06-2024","216.00","221.20","222.20","214.90","456.99K","-1.41%"
"17-06-2024","219.10","224.90","225.00","215.10","616.00K","-2.58%"
"14-06-2024","224.90","227.30","227.90","222.30","513.63K","-1.14%"
"13-06-2024","227.50","229.80","230.30","225.60","431.96K","-1.26%"
"12-06-2024","230.40","227.00","231.00","224.40","352.30K","2.04%"
"11-06-2024","225.80","230.00","230.40","224.40","366.46K","-1.70%"
"10-06-2024","229.70","230.00","231.30","228.70","303.86K","-0.56%"
"07-06-2024","231.00","230.80","231.00","228.70","338.48K","-0.09%"
"06-06-2024","231.20","233.60","234.10","230.50","280.54K","-0.22%"
"05-06-2024","231.70","232.70","234.10","230.10","289.66K","-0.30%"
"04-06-2024","232.40","232.50","234.30","229.80","238.33K","-0.21%"
"03-06-2024","232.90","234.00","236.30","232.70","343.38K","0.60%"
"31-05-2024","231.50","230.90","231.70","229.60","754.39K","0.00%"
"30-05-2024","231.50","228.00","232.00","227.70","438.96K","1.94%"
"29-05-2024","227.10","221.50","228.20","221.30","601.74K","2.16%"
"28-05-2024","222.30","223.00","223.20","220.50","386.78K","-0.18%"
"27-05-2024","222.70","223.70","223.70","222.00","167.83K","-0.54%"
"24-05-2024","223.90","222.10","223.90","220.90","372.34K","0.45%"
"23-05-2024","222.90","225.10","226.10","220.90","554.33K","-1.11%"
"22-05-2024","225.40","227.00","228.80","224.60","282.77K","-1.14%"
"21-05-2024","228.00","227.20","228.30","224.80","420.74K","0.13%"
"20-05-2024","227.70","228.90","229.10","226.90","208.24K","-0.52%"
"17-05-2024","228.90","228.70","230.00","228.70","396.82K","-0.61%"
"16-05-2024","230.30","231.80","233.10","227.10","440.07K","-0.78%"
"15-05-2024","232.10","227.20","232.10","226.90","471.03K","2.20%"
"14-05-2024","227.10","225.30","227.70","224.30","280.61K","1.20%"
"13-05-2024","224.40","224.00","226.50","223.80","234.38K","0.00%"
"10-05-2024","224.40","225.00","225.50","222.70","390.01K","0.49%"
"09-05-2024","223.30","221.00","223.70","219.70","341.38K","0.36%"
"08-05-2024","222.50","222.80","224.20","220.90","391.30K","0.18%"
"07-05-2024","222.10","225.90","227.30","220.80","427.46K","-1.33%"
"06-05-2024","225.10","224.70","226.00","224.20","240.84K","0.04%"
"03-05-2024","225.00","226.10","226.90","222.50","420.99K","0.45%"
"02-05-2024","224.00","228.00","228.00","222.40","497.95K","-1.06%"
"30-04-2024","226.40","232.90","232.90","224.90","536.67K","-2.54%"
"29-04-2024","232.30","231.10","233.90","230.60","386.91K","0.61%"
"26-04-2024","230.90","228.10","230.90","224.80","370.78K","1.99%"
"25-04-2024","226.40","227.60","228.00","224.50","348.04K","-0.57%"
"24-04-2024","227.70","230.00","231.20","226.80","482.90K","-0.09%"
"23-04-2024","227.90","225.00","227.90","224.10","429.71K","1.83%"
"22-04-2024","223.80","226.80","227.50","222.60","440.25K","-0.36%"
"19-04-2024","224.60","225.40","227.30","223.10","569.54K","-0.58%"
"18-04-2024","225.90","220.00","225.90","218.90","914.02K","2.68%"
"17-04-2024","220.00","211.00","221.70","210.50","1.26M","8.64%"
"16-04-2024","202.50","200.80","204.30","200.70","338.57K","-1.03%"
"15-04-2024","204.60","200.70","206.50","200.00","667.43K","4.18%"
"12-04-2024","196.40","201.00","201.60","195.40","412.18K","-1.70%"
"11-04-2024","199.80","199.60","201.70","198.00","310.78K","-0.35%"
"10-04-2024","200.50","201.90","204.40","199.05","359.67K","-0.25%"
"09-04-2024","201.00","203.10","204.00","200.20","258.79K","-1.76%"
"08-04-2024","204.60","201.00","204.60","200.90","300.81K","1.49%"
"05-04-2024","201.60","200.00","203.40","198.80","424.60K","-0.74%"
"04-04-2024","203.10","200.80","203.10","200.30","268.23K","0.84%"
"03-04-2024","201.40","202.70","203.80","200.40","346.90K","-0.49%"
"02-04-2024","202.40","206.90","208.00","201.50","482.92K","-2.22%"
"28-03-2024","207.00","206.45","208.10","205.35","453.33K","1.12%"
"27-03-2024","204.70","204.50","208.60","204.05","591.13K","0.20%"
"26-03-2024","204.30","203.90","205.40","203.50","507.72K","0.17%"
"25-03-2024","203.95","200.00","204.20","198.38","343.15K","1.85%"
"22-03-2024","200.25","194.40","201.80","194.30","890.36K","0.53%"
"21-03-2024","199.20","201.20","202.05","196.44","807.88K","-0.37%"
"20-03-2024","199.94","199.50","201.55","198.74","451.90K","-0.45%"
"19-03-2024","200.85","201.15","201.85","200.15","573.74K","0.37%"
"18-03-2024","200.10","205.35","205.55","199.12","634.15K","-2.39%"
"15-03-2024","205.00","205.90","207.90","204.80","1.64M","-0.73%"
"14-03-2024","206.50","201.00","208.80","200.35","1.04M","3.17%"
"13-03-2024","200.15","192.80","201.55","184.94","1.44M","3.84%"
"12-03-2024","192.74","190.66","192.96","189.90","616.78K","2.05%"
"11-03-2024","188.86","188.24","188.86","185.68","405.14K","-0.15%"
"08-03-2024","189.14","189.18","191.52","187.96","411.43K","0.39%"
"07-03-2024","188.40","184.40","188.50","180.82","522.81K","1.31%"
"06-03-2024","185.96","184.70","193.72","182.28","931.80K","0.46%"
"05-03-2024","185.10","183.20","185.38","182.02","375.37K","0.33%"
"04-03-2024","184.50","186.60","188.02","184.46","326.09K","-1.34%"
"01-03-2024","187.00","187.68","189.06","186.30","373.82K","-0.06%"
"29-02-2024","187.12","190.50","191.36","187.12","535.11K","-1.43%"
"28-02-2024","189.84","188.54","190.06","188.42","320.09K","0.89%"
"27-02-2024","188.16","188.38","190.08","185.88","322.59K","-0.02%"
"26-02-2024","188.20","187.88","190.24","187.44","323.45K","-0.31%"
"23-02-2024","188.78","187.46","189.92","187.24","375.48K","0.51%"
"22-02-2024","187.82","183.00","188.18","182.82","585.59K","3.52%"
"21-02-2024","181.44","181.18","183.84","181.18","275.06K","0.18%"
"20-02-2024","181.12","179.20","182.52","179.20","414.91K","0.78%"
"19-02-2024","179.72","175.44","180.84","175.32","270.80K","1.97%"
"16-02-2024","176.24","174.68","178.70","174.68","435.28K","1.22%"
"15-02-2024","174.12","176.00","178.00","173.14","335.77K","-0.42%"
