"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","26.98","26.89","27.25","26.80","2.26M","0.71%"
"12-09-2024","26.79","27.30","27.32","26.70","2.31M","-0.81%"
"11-09-2024","27.01","27.61","27.63","26.69","3.32M","-2.19%"
"10-09-2024","27.61","28.60","28.65","27.50","3.07M","-3.71%"
"09-09-2024","28.68","29.05","29.25","28.55","2.47M","-0.80%"
"06-09-2024","28.91","29.29","29.89","28.91","4.20M","-0.22%"
"05-09-2024","28.98","27.86","29.49","27.74","4.76M","3.89%"
"04-09-2024","27.89","27.64","28.01","27.38","1.98M","0.29%"
"03-09-2024","27.81","28.21","28.30","27.69","2.73M","-0.78%"
"02-09-2024","28.03","28.22","28.25","27.74","1.84M","0.59%"
"30-08-2024","27.86","27.85","28.07","27.80","2.22M","0.20%"
"29-08-2024","27.81","27.67","28.30","27.61","2.19M","0.72%"
"28-08-2024","27.61","27.66","27.70","27.32","1.78M","0.25%"
"27-08-2024","27.54","27.55","27.72","27.45","1.73M","-0.05%"
"26-08-2024","27.56","27.90","27.90","27.51","1.24M","-1.11%"
"23-08-2024","27.86","27.84","28.02","27.69","1.62M","0.56%"
"22-08-2024","27.71","28.01","28.08","27.67","1.81M","-1.42%"
"21-08-2024","28.11","28.11","28.32","27.95","1.79M","-0.57%"
"20-08-2024","28.27","28.94","28.98","28.16","3.17M","-2.80%"
"19-08-2024","29.08","29.27","29.56","28.94","2.73M","0.29%"
"16-08-2024","29.00","27.20","29.74","27.20","12.46M","10.37%"
"15-08-2024","26.27","25.99","26.27","25.89","2.53M","1.70%"
