"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","53.62","51.94","54.20","51.94","513.44K","3.31%"
"12-09-2024","51.90","53.42","53.48","51.78","594.40K","-1.52%"
"11-09-2024","52.70","52.76","53.56","51.02","804.40K","0.19%"
"10-09-2024","52.60","58.58","58.78","52.60","1.68M","-10.51%"
"09-09-2024","58.78","58.92","59.34","58.56","170.81K","0.31%"
"06-09-2024","58.60","60.46","60.54","58.44","330.49K","-3.30%"
"05-09-2024","60.60","59.48","61.30","59.42","309.99K","1.34%"
"04-09-2024","59.80","59.94","60.32","59.36","283.31K","-1.97%"
"03-09-2024","61.00","61.00","61.70","60.80","267.83K","-0.13%"
"02-09-2024","61.08","61.38","61.54","60.12","138.53K","0.00%"
"30-08-2024","61.08","60.88","61.40","60.88","767.23K","0.13%"
"29-08-2024","61.00","61.00","61.70","60.88","260.77K","-0.26%"
"28-08-2024","61.16","61.42","61.72","61.02","267.75K","-0.49%"
"27-08-2024","61.46","61.90","62.84","61.46","587.01K","2.74%"
"26-08-2024","59.82","59.96","60.16","59.40","90.49K","-0.27%"
"23-08-2024","59.98","59.16","60.04","59.12","130.38K","1.52%"
"22-08-2024","59.08","59.42","59.80","58.90","188.39K","-0.64%"
"21-08-2024","59.46","59.14","59.84","59.08","132.41K","0.37%"
"20-08-2024","59.24","60.08","60.30","59.14","205.18K","-1.30%"
"19-08-2024","60.02","59.14","60.06","59.02","361.55K","1.32%"
"16-08-2024","59.24","59.74","60.04","59.24","258.22K","-0.44%"
"15-08-2024","59.50","58.78","60.00","58.62","223.54K","1.67%"
