"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","14.628","14.270","14.698","14.228","5.24M","2.44%"
"12-09-2024","14.280","14.220","14.372","14.108","5.06M","1.75%"
"11-09-2024","14.034","14.660","14.780","13.812","11.28M","-1.81%"
"10-09-2024","14.292","15.044","15.056","14.292","8.81M","-4.91%"
"09-09-2024","15.030","14.716","15.114","14.704","4.99M","2.47%"
"06-09-2024","14.668","14.898","15.062","14.614","4.80M","-1.87%"
"05-09-2024","14.948","14.334","15.084","14.284","7.61M","3.23%"
"04-09-2024","14.480","14.200","14.570","14.160","4.10M","-0.25%"
"03-09-2024","14.516","14.862","15.136","14.416","7.50M","-1.61%"
"02-09-2024","14.754","14.800","14.800","14.562","4.32M","0.04%"
"30-08-2024","14.748","14.702","14.790","14.684","5.29M","0.56%"
"29-08-2024","14.666","14.624","14.788","14.600","2.41M","-0.10%"
"28-08-2024","14.680","14.770","14.808","14.606","2.70M","-0.12%"
"27-08-2024","14.698","14.624","14.804","14.582","3.37M","0.63%"
"26-08-2024","14.606","14.654","14.714","14.564","1.61M","-0.64%"
"23-08-2024","14.700","14.630","14.828","14.590","4.33M","0.88%"
"22-08-2024","14.572","14.420","14.620","14.120","8.25M","4.03%"
"21-08-2024","14.008","13.896","14.086","13.848","2.65M","0.65%"
"20-08-2024","13.918","14.176","14.204","13.866","4.74M","-1.63%"
"19-08-2024","14.148","14.040","14.148","14.008","3.58M","0.77%"
"16-08-2024","14.040","13.864","14.054","13.770","5.34M","1.67%"
"15-08-2024","13.810","13.480","13.878","13.440","5.10M","3.21%"
