"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","164.06","164.56","165.06","163.10","966.55K","-0.15%"
"12-09-2024","164.30","163.96","165.70","162.16","912.82K","1.33%"
"11-09-2024","162.14","162.46","164.80","160.24","903.30K","-0.14%"
"10-09-2024","162.36","162.40","163.44","161.04","839.15K","-0.15%"
"09-09-2024","162.60","162.60","163.96","161.70","746.10K","0.91%"
"06-09-2024","161.14","164.98","166.32","160.98","1.16M","-2.47%"
"05-09-2024","165.22","166.10","167.50","164.46","824.03K","-0.90%"
"04-09-2024","166.72","164.80","167.64","164.54","737.12K","-0.83%"
"03-09-2024","168.12","170.76","171.48","167.36","1.01M","-1.43%"
"02-09-2024","170.56","169.94","170.88","167.34","522.43K","0.38%"
"30-08-2024","169.92","170.14","171.02","169.78","1.18M","-0.18%"
"29-08-2024","170.22","168.28","170.22","167.88","657.07K","1.19%"
"28-08-2024","168.22","168.00","169.62","167.46","686.20K","0.66%"
"27-08-2024","167.12","167.84","168.32","166.98","630.24K","-0.41%"
"26-08-2024","167.80","166.26","167.80","165.72","479.91K","0.42%"
"23-08-2024","167.10","165.22","167.68","165.20","912.59K","1.35%"
"22-08-2024","164.88","164.78","166.18","164.78","691.37K","0.01%"
"21-08-2024","164.86","163.84","165.38","163.76","725.84K","0.63%"
"20-08-2024","163.82","164.92","165.34","163.52","535.06K","-0.27%"
"19-08-2024","164.26","163.28","164.58","162.56","631.34K","0.65%"
"16-08-2024","163.20","163.34","163.46","162.14","902.68K","0.31%"
"15-08-2024","162.70","160.40","163.26","158.70","816.04K","2.13%"
"14-08-2024","159.30","160.38","160.94","159.12","705.75K","0.23%"
"13-08-2024","158.94","157.68","159.64","157.48","822.26K","1.11%"
"12-08-2024","157.20","156.64","158.28","156.54","711.68K","0.01%"
"09-08-2024","157.18","158.14","158.58","155.40","1.23M","-1.27%"
"08-08-2024","159.20","154.10","159.72","152.40","1.80M","2.09%"
"07-08-2024","155.94","155.92","158.44","152.78","1.91M","1.26%"
"06-08-2024","154.00","156.30","157.30","152.54","1.64M","-0.73%"
"05-08-2024","155.14","152.00","155.88","150.68","2.06M","-1.69%"
"02-08-2024","157.80","160.80","162.32","157.06","1.86M","-4.10%"
"01-08-2024","164.54","167.04","168.60","163.92","1.22M","-2.88%"
"31-07-2024","169.42","169.48","170.68","168.38","1.21M","0.55%"
"30-07-2024","168.50","168.12","169.12","167.42","892.75K","0.39%"
"29-07-2024","167.84","171.00","171.34","167.60","815.97K","-1.17%"
"26-07-2024","169.82","168.76","170.46","168.02","899.47K","0.59%"
"25-07-2024","168.82","168.02","169.34","166.10","1.07M","-1.53%"
"24-07-2024","171.44","171.38","173.82","170.56","1.06M","-1.26%"
"23-07-2024","173.62","173.28","176.04","172.92","664.63K","0.21%"
"22-07-2024","173.26","172.00","175.20","171.60","832.84K","1.65%"
"19-07-2024","170.44","170.20","173.00","169.96","1.38M","-0.05%"
"18-07-2024","170.52","177.20","177.20","170.52","1.70M","-4.42%"
"17-07-2024","178.40","180.62","181.64","177.18","695.41K","-1.74%"
"16-07-2024","181.56","180.08","181.78","179.44","509.57K","0.38%"
"15-07-2024","180.88","183.44","184.04","180.78","767.79K","-1.78%"
"12-07-2024","184.16","179.50","184.90","178.58","1.30M","2.94%"
"11-07-2024","178.90","177.94","179.10","176.30","749.95K","1.43%"
"10-07-2024","176.38","173.52","176.90","173.20","782.90K","1.80%"
"09-07-2024","173.26","176.48","176.62","172.54","1.06M","-2.20%"
"08-07-2024","177.16","177.00","179.10","176.92","630.08K","0.02%"
"05-07-2024","177.12","178.30","180.42","176.38","787.56K","-0.12%"
"04-07-2024","177.34","176.94","177.74","176.42","506.14K","0.33%"
"03-07-2024","176.76","176.10","177.48","174.28","1.11M","1.10%"
"02-07-2024","174.84","175.86","176.32","173.98","829.18K","-1.29%"
"01-07-2024","177.12","177.60","178.50","175.50","1.04M","1.96%"
"28-06-2024","173.72","175.00","176.36","172.78","1.56M","0.10%"
"27-06-2024","173.54","169.06","175.40","169.06","1.29M","2.55%"
"26-06-2024","169.22","170.72","171.38","167.80","1.02M","-0.21%"
"25-06-2024","169.58","169.02","170.90","167.42","1.06M","-0.85%"
"24-06-2024","171.04","168.60","171.62","168.48","1.10M","1.69%"
"21-06-2024","168.20","170.28","170.44","166.90","2.77M","-1.26%"
"20-06-2024","170.34","169.08","171.18","169.08","1.20M","1.25%"
"19-06-2024","168.24","169.28","169.92","167.80","805.96K","-0.12%"
"18-06-2024","168.44","169.64","170.38","167.22","919.62K","0.20%"
"17-06-2024","168.10","166.72","168.62","166.46","963.81K","1.42%"
"14-06-2024","165.74","170.80","171.10","165.68","1.69M","-2.99%"
"13-06-2024","170.84","177.28","177.56","170.44","1.40M","-4.08%"
"12-06-2024","178.10","173.12","178.58","172.30","975.01K","3.27%"
"11-06-2024","172.46","174.70","175.44","172.18","953.04K","-1.14%"
"10-06-2024","174.44","174.12","174.52","172.06","717.41K","0.00%"
"07-06-2024","174.44","175.00","175.26","172.62","1.03M","-0.71%"
"06-06-2024","175.68","178.88","179.52","175.14","826.57K","-1.76%"
"05-06-2024","178.82","175.60","178.82","175.38","828.30K","2.61%"
"04-06-2024","174.28","178.58","179.00","174.28","1.23M","-2.18%"
"03-06-2024","178.16","178.80","179.60","177.10","745.49K","1.08%"
"31-05-2024","176.26","176.08","176.84","175.10","2.25M","0.08%"
"30-05-2024","176.12","175.04","176.64","174.60","757.54K","0.22%"
"29-05-2024","175.74","176.30","177.54","175.34","883.16K","-0.86%"
"28-05-2024","177.26","179.36","181.16","177.18","787.84K","-0.93%"
"27-05-2024","178.92","177.84","179.14","177.60","610.33K","0.91%"
"24-05-2024","177.30","175.24","177.60","175.04","806.00K","0.07%"
"23-05-2024","177.18","173.86","178.12","173.68","1.09M","2.00%"
"22-05-2024","173.70","174.30","175.98","173.50","1.04M","0.03%"
"21-05-2024","173.64","172.88","174.40","172.48","1.25M","0.30%"
"20-05-2024","173.12","172.42","173.90","171.40","903.82K","0.32%"
"17-05-2024","172.56","173.10","174.40","170.42","2.34M","-1.39%"
"16-05-2024","175.00","185.00","187.20","174.98","3.59M","-6.77%"
"15-05-2024","187.70","185.78","187.90","185.66","1.07M","1.33%"
"14-05-2024","185.24","187.84","187.84","185.24","1.14M","-1.46%"
"13-05-2024","187.98","187.34","188.88","187.28","848.83K","-0.22%"
"10-05-2024","188.40","184.70","188.54","184.50","1.72M","2.35%"
"09-05-2024","184.08","181.58","184.66","181.58","777.55K","1.38%"
"08-05-2024","181.58","179.90","183.72","179.72","1.08M","0.80%"
"07-05-2024","180.14","179.42","180.78","173.52","1.90M","0.43%"
"06-05-2024","179.36","177.78","179.84","177.30","757.55K","0.98%"
"03-05-2024","177.62","176.00","178.76","174.92","747.52K","1.38%"
"02-05-2024","175.20","175.64","176.24","173.88","874.10K","-0.40%"
"30-04-2024","175.90","178.18","178.20","175.74","1.16M","-0.98%"
"29-04-2024","177.64","178.28","178.92","177.24","666.23K","0.01%"
"26-04-2024","177.62","174.94","178.06","174.02","1.09M","2.26%"
"25-04-2024","173.70","174.60","175.06","171.90","1.24M","-0.54%"
"24-04-2024","174.64","174.86","176.70","173.76","1.22M","-0.40%"
"23-04-2024","175.34","174.52","175.68","173.38","1.10M","0.76%"
"22-04-2024","174.02","174.84","175.86","173.44","887.53K","0.61%"
"19-04-2024","172.96","172.92","173.36","171.82","1.65M","-1.46%"
"18-04-2024","175.52","175.50","177.08","174.32","1.20M","1.64%"
"17-04-2024","172.68","172.98","174.76","172.30","750.85K","-0.23%"
"16-04-2024","173.08","172.48","174.26","171.72","1.08M","-1.60%"
"15-04-2024","175.90","176.00","178.66","175.18","1.28M","1.88%"
"12-04-2024","172.66","175.10","176.10","171.40","1.09M","-0.53%"
"11-04-2024","173.58","174.02","174.54","172.00","884.54K","-0.46%"
"10-04-2024","174.38","174.46","177.86","172.72","1.16M","0.72%"
"09-04-2024","173.14","173.56","175.70","173.10","879.41K","-0.64%"
"08-04-2024","174.26","172.68","174.26","172.14","1.05M","1.10%"
"05-04-2024","172.36","172.78","174.16","170.50","1.57M","-2.15%"
"04-04-2024","176.14","176.14","176.58","174.54","743.31K","-0.23%"
"03-04-2024","176.54","175.52","176.78","175.30","928.15K","0.54%"
"02-04-2024","175.60","177.00","177.76","175.04","1.26M","-0.77%"
"28-03-2024","176.96","178.00","178.00","176.24","1.44M","0.02%"
"27-03-2024","176.92","175.40","177.08","174.66","998.73K","0.92%"
"26-03-2024","175.30","173.98","176.10","173.58","1.17M","0.71%"
"25-03-2024","174.06","175.12","175.74","173.48","868.06K","-0.76%"
"22-03-2024","175.40","174.50","175.82","172.58","1.08M","0.32%"
"21-03-2024","174.84","178.68","179.10","173.34","1.47M","-0.52%"
"20-03-2024","175.76","172.10","177.56","172.08","1.75M","1.57%"
"19-03-2024","173.04","183.44","184.26","170.94","3.04M","-5.76%"
"18-03-2024","183.62","185.02","186.38","183.40","874.39K","-0.72%"
"15-03-2024","184.96","184.18","186.98","183.52","4.08M","0.52%"
"14-03-2024","184.00","184.06","184.80","183.00","1.18M","0.05%"
"13-03-2024","183.90","182.54","184.34","182.08","966.26K","0.63%"
"12-03-2024","182.74","181.22","182.94","179.10","1.10M","1.17%"
"11-03-2024","180.62","179.00","180.62","177.88","944.46K","-0.71%"
"08-03-2024","181.92","181.74","182.60","181.22","970.40K","0.21%"
"07-03-2024","181.54","178.48","182.18","178.12","1.07M","0.86%"
"06-03-2024","180.00","178.78","180.00","177.66","1.46M","0.82%"
"05-03-2024","178.54","179.12","180.52","178.02","1.08M","-1.40%"
"04-03-2024","181.08","180.74","182.18","180.40","787.62K","-0.11%"
"01-03-2024","181.28","184.50","184.84","180.66","1.34M","-0.91%"
"29-02-2024","182.94","180.90","183.20","180.76","2.56M","1.71%"
"28-02-2024","179.86","176.16","180.00","175.72","1.51M","1.83%"
"27-02-2024","176.62","174.96","176.88","174.50","1.11M","0.98%"
"26-02-2024","174.90","174.52","175.24","173.90","1.04M","-0.23%"
"23-02-2024","175.30","171.96","175.56","171.46","1.84M","1.86%"
"22-02-2024","172.10","170.98","173.04","169.74","1.55M","1.58%"
"21-02-2024","169.42","168.58","170.10","168.58","1.08M","0.41%"
"20-02-2024","168.72","168.74","169.32","168.00","874.32K","-0.51%"
"19-02-2024","169.58","169.10","169.80","167.64","910.53K","0.21%"
"16-02-2024","169.22","167.72","169.92","167.50","1.76M","1.33%"
"15-02-2024","167.00","165.70","168.18","165.70","1.35M","1.19%"
"14-02-2024","165.04","163.18","165.04","162.40","885.88K","0.83%"
"13-02-2024","163.68","165.04","165.04","162.06","1.16M","-0.88%"
"12-02-2024","165.14","166.00","166.58","165.14","814.54K","-0.23%"
"09-02-2024","165.52","166.10","166.68","164.60","1.78M","-2.51%"
"08-02-2024","169.78","164.00","174.00","163.90","2.64M","0.96%"
"07-02-2024","168.16","167.54","169.20","165.76","1.44M","0.47%"
"06-02-2024","167.38","166.60","167.80","163.30","1.24M","1.68%"
"05-02-2024","164.62","165.62","167.00","164.08","960.92K","-1.22%"
"02-02-2024","166.66","167.96","167.96","165.78","1.12M","0.06%"
"01-02-2024","166.56","166.40","167.18","165.14","1.19M","-0.07%"
"31-01-2024","166.68","168.76","170.48","166.38","2.12M","-1.56%"
"30-01-2024","169.32","168.52","169.50","168.12","1.07M","1.18%"
"29-01-2024","167.34","167.34","167.62","166.28","1.00M","-0.31%"
"26-01-2024","167.86","167.18","168.38","165.64","1.11M","0.39%"
"25-01-2024","167.20","166.82","167.56","165.14","968.83K","-0.18%"
"24-01-2024","167.50","162.70","167.50","162.70","1.41M","3.37%"
"23-01-2024","162.04","163.88","164.60","162.04","991.17K","-0.83%"
"22-01-2024","163.40","162.50","163.40","162.04","915.40K","1.53%"
"19-01-2024","160.94","161.60","162.10","159.88","1.11M","0.07%"
"18-01-2024","160.82","159.48","160.82","158.34","1.11M","1.18%"
"17-01-2024","158.94","158.56","159.66","157.78","1.27M","-1.38%"
"16-01-2024","161.16","160.52","161.46","160.12","1.04M","-0.47%"
"15-01-2024","161.92","163.62","163.92","161.72","655.85K","-0.74%"
"12-01-2024","163.12","162.22","163.52","161.94","1.19M","1.53%"
"11-01-2024","160.66","161.64","163.10","159.92","1.12M","-0.07%"
"10-01-2024","160.78","160.30","161.00","159.42","975.03K","0.87%"
"09-01-2024","159.40","160.82","160.96","158.46","1.28M","-0.86%"
"08-01-2024","160.78","160.18","161.42","159.90","827.48K","0.17%"
"05-01-2024","160.50","159.44","160.62","158.10","1.41M","-1.18%"
"04-01-2024","162.42","162.62","163.46","161.36","1.14M","0.06%"
"03-01-2024","162.32","167.84","167.84","161.32","1.66M","-3.31%"
"02-01-2024","167.88","168.92","171.06","166.38","1.25M","-1.20%"
"29-12-2023","169.92","168.62","169.92","168.48","571.94K","0.85%"
"28-12-2023","168.48","169.26","169.44","168.34","633.47K","-0.20%"
"27-12-2023","168.82","168.36","169.34","168.18","752.83K","0.44%"
"22-12-2023","168.08","167.82","168.62","167.42","981.83K","-0.24%"
"21-12-2023","168.48","167.58","169.14","167.42","1.17M","-0.39%"
"20-12-2023","169.14","168.50","169.70","167.68","1.39M","0.69%"
"19-12-2023","167.98","163.92","168.04","163.70","1.67M","2.80%"
"18-12-2023","163.40","165.52","166.66","163.32","1.37M","-2.03%"
"15-12-2023","166.78","166.56","168.26","166.56","3.86M","0.58%"
"14-12-2023","165.82","165.34","167.56","165.18","2.45M","1.81%"
"13-12-2023","162.88","163.86","164.32","162.30","1.22M","-0.60%"
"12-12-2023","163.86","164.80","165.86","163.12","1.45M","-0.27%"
"11-12-2023","164.30","161.90","164.50","161.56","1.37M","1.16%"
"08-12-2023","162.42","161.50","162.78","161.36","1.59M","0.57%"
"07-12-2023","161.50","160.40","161.96","160.38","1.22M","0.36%"
"06-12-2023","160.92","159.36","162.16","158.94","1.94M","1.37%"
"05-12-2023","158.74","156.80","159.70","155.70","1.59M","1.12%"
"04-12-2023","156.98","155.98","157.48","155.90","1.05M","0.63%"
"01-12-2023","156.00","154.28","156.52","154.10","1.48M","1.30%"
"30-11-2023","154.00","153.00","154.30","152.92","2.34M","0.73%"
"29-11-2023","152.88","150.82","153.54","150.82","1.24M","0.96%"
"28-11-2023","151.42","150.06","151.68","149.62","912.97K","0.79%"
"27-11-2023","150.24","150.00","150.88","149.52","881.06K","-0.41%"
"24-11-2023","150.86","149.80","151.08","149.62","1.08M","0.82%"
"23-11-2023","149.64","150.00","150.34","149.34","766.91K","-0.01%"
"22-11-2023","149.66","147.76","150.10","147.70","1.36M","1.35%"
"21-11-2023","147.66","148.42","149.74","147.38","1.49M","0.01%"
"20-11-2023","147.64","149.00","149.00","146.72","1.44M","-0.55%"
"17-11-2023","148.46","147.68","149.00","146.24","2.25M","1.12%"
"16-11-2023","146.82","147.00","148.22","144.78","3.28M","5.70%"
"15-11-2023","138.90","137.70","140.12","137.40","1.59M","1.71%"
"14-11-2023","136.56","133.36","136.98","132.64","1.60M","2.75%"
"13-11-2023","132.90","131.26","132.90","130.78","876.94K","1.61%"
"10-11-2023","130.80","132.18","132.26","130.30","1.01M","-1.65%"
"09-11-2023","133.00","130.74","133.02","130.70","1.25M","2.37%"
"08-11-2023","129.92","127.96","130.60","127.54","1.42M","0.81%"
"07-11-2023","128.88","128.60","129.14","128.00","939.95K","-0.08%"
"06-11-2023","128.98","128.98","129.96","128.62","908.39K","0.92%"
