"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","98.75","96.40","99.40","96.40","71.09K","2.81%"
"12-09-2024","96.05","96.00","97.40","95.10","110.46K","1.91%"
"11-09-2024","94.25","93.75","95.30","93.65","68.27K","0.86%"
"10-09-2024","93.45","96.30","96.30","92.65","145.65K","-3.41%"
"09-09-2024","96.75","96.55","97.95","96.40","112.13K","0.21%"
"06-09-2024","96.55","101.20","101.20","96.55","159.14K","-4.59%"
"05-09-2024","101.20","100.00","103.20","99.85","110.24K","0.60%"
"04-09-2024","100.60","101.00","102.20","100.10","141.20K","-1.57%"
"03-09-2024","102.20","103.20","104.80","102.00","154.48K","-0.49%"
"02-09-2024","102.70","101.60","104.50","100.40","163.20K","1.68%"
"30-08-2024","101.00","103.30","103.80","101.00","2.82M","-2.23%"
"29-08-2024","103.30","102.00","104.20","102.00","93.38K","0.19%"
"28-08-2024","103.10","103.80","104.00","102.90","106.70K","-1.62%"
"27-08-2024","104.80","104.90","105.90","104.20","78.49K","-0.57%"
"26-08-2024","105.40","105.00","105.80","104.30","47.76K","-0.28%"
"23-08-2024","105.70","104.20","105.70","104.20","62.14K","1.73%"
"22-08-2024","103.90","105.30","105.40","103.90","73.13K","-1.52%"
"21-08-2024","105.50","102.50","105.50","102.50","68.32K","2.23%"
"20-08-2024","103.20","103.90","104.40","102.40","67.90K","-0.48%"
"19-08-2024","103.70","101.70","104.10","101.70","73.47K","2.27%"
"16-08-2024","101.40","100.90","101.60","100.80","64.89K","0.30%"
"15-08-2024","101.10","99.25","101.30","98.60","64.22K","2.59%"
